"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Unknown Harvey County","Unknown Harvey County",,,,,"Harvey County, KS",,1,2013,,,"38.0308°, -97.2803°"
"Unknown Haskell County","Unknown Haskell County",,,,,"Haskell County, TX",,1,2017,,,"33.3661°, -99.6233°"
"Unknown Hawaii County","Unknown Hawaii County",,,,,"Hawaii County, HI",,1,2013,,,"20.2406°, -155.8044°"
"Unknown Henry County","Unknown Henry County",,,,,"Henry County, IL",,53,2018,,,"41.2336°, -90.2875°"
"Unknown Hidalgo County","Unknown Hidalgo County",,,,,"Hidalgo County, NM",,1,2012,,,"32.3492°, -108.7453°"
"Unknown Hooker County","Unknown Hooker County",,,,,"Hooker County, NE",,1,2010,,,"42.0469°, -101.0453°"
"Unknown Hubbard County","Unknown Hubbard County",,,,,"Hubbard County, MN",,1,2016,,,"46.9286°, -95.0783°"
"Unknown Iowa County","Unknown Iowa County",,,,,"Iowa County, WI",,1,2014,,,"42.9144°, -90.1822°"
"Unknown Irion County","Unknown Irion County",,,,,"Irion County, TX",,15,2017,,,"31.2047°, -101.2008°"
"Unknown Jackson County 1","Unknown Jackson County 1",,,,,"Jackson County, IA",,1,2013,,,"42.0436°, -90.7439°"
"Unknown Jasper County","Unknown Jasper County",,,,,"Jasper County, IA",,1,2014,,,"41.6589°, -92.9981°"
"Unknown Johnson County 1","Unknown Johnson County 1",,,,,"Johnson County, IA",,1,,,,"41.6344°, -91.5578°"
"Unknown Johnson County 3","Unknown Johnson County 3",,,,,"Johnson County, MO",,1,2010,,,"38.7833°, -93.7939°"
"Unknown Kent County","Unknown Kent County",,,,,"Kent County, TX",,3,2012,,,"33.2567°, -100.5733°"
"Unknown Kern County","Unknown Kern County",,,,,"Kern County, CA",,3,2009,,,"35.7047°, -118.4100°"
"Unknown Kimball County","Unknown Kimball County",,,,,"Kimball County, NE",,12,2018,,,"41.2947°, -103.7281°"
"Unknown Kingman County","Unknown Kingman County",,,,,"Kingman County, KS",,1,,,,"37.5536°, -98.2014°"
"Unknown Kings County","Unknown Kings County",,,,,"Kings County, NY",,1,2015,,,"40.6633°, -74.0089°"
"Unknown Kiowa County","Unknown Kiowa County",,,,,"Kiowa County, KS",,1,2011,,,"37.6056°, -99.2989°"
"Unknown Knox County","Unknown Knox County",,,,,"Knox County, ME",,1,2017,,,"44.0608°, -69.1200°"
"Unknown Kotzebue Wind Project","Unknown Kotzebue Wind Project",,,,,"Northwest Arctic Borough, AK",,2,2003,"Seaforth Energy",,"66.8344°, -162.5572°"
"Unknown Kusilvak Census Area","Unknown Kusilvak Census Area",,,,,"Kusilvak Census Area, AK",,2,2014,,,"62.7792°, -164.5300°"
"Unknown Lake and Peninsula Borough","Unknown Lake and Peninsula Borough",,,,,"Lake and Peninsula Borough, AK",,2,2010,,,"59.4464°, -154.7642°"
"Unknown Lancaster County","Unknown Lancaster County",,,,,"Lancaster County, NE",,1,1999,,,"40.9525°, -96.7564°"
"Unknown Lander County","Unknown Lander County",,,,,"Lander County, NV",,1,2012,,,"39.4319°, -117.2683°"
"Unknown Lea County","Unknown Lea County",,,,,"Lea County, NM",,2,2017,,,"33.3775°, -103.2517°"
"Unknown Lea County 1","Unknown Lea County 1",,,,,"Lea County, NM",,1,2013,,,"32.9617°, -103.4192°"
"Unknown Lea County 2","Unknown Lea County 2",,,,,"Lea County, NM",,1,2013,,,"32.9942°, -103.3756°"
"Unknown Lea County 3","Unknown Lea County 3",,,,,"Lea County, NM",,1,2013,,,"33.0011°, -103.4450°"
"Unknown Lewis County","Unknown Lewis County",,,,,"Lewis County, NY",,1,2017,,,"43.8700°, -75.5906°"
"Unknown Lewis and Clark County","Unknown Lewis and Clark County",,,,,"Lewis and Clark County, MT",,1,2013,,,"46.5997°, -111.9942°"
"Unknown Lincoln County 1","Unknown Lincoln County 1",,,,,"Lincoln County, MN",,1,,,,"44.3078°, -96.1578°"
"Unknown Linn County","Unknown Linn County",,,,,"Linn County, IA",,1,2013,,,"41.8897°, -91.7631°"
"Unknown Livingston County","Unknown Livingston County",,,,,"Livingston County, NY",,1,2011,,,"42.6208°, -77.7153°"
"Unknown Lorain County","Unknown Lorain County",,,,,"Lorain County, OH",,2,2015,,,"41.3406°, -82.0414°"
"Unknown Lubbock County","Unknown Lubbock County",,,,,"Lubbock County, TX",,2,2015,,,"33.5914°, -102.0569°"
"Unknown Madison County","Unknown Madison County",,,,,"Madison County, NE",,1,2011,,,"42.0514°, -97.3889°"
"Unknown Marion County","Unknown Marion County",,,,,"Marion County, KS",,16,2018,,,"38.5936°, -97.3381°"
"Unknown Maui County","Unknown Maui County",,,,,"Maui County, HI",,3,2015,,,"20.8594°, -156.4236°"
"Unknown McCulloch County","Unknown McCulloch County",,,,,"McCulloch County, TX",,64,2017,,,"31.2564°, -99.5744°"
"Unknown Merrimack County","Unknown Merrimack County",,,,,"Merrimack County, NH",,1,2017,,,"43.1847°, -71.4475°"
"Unknown Miami County","Unknown Miami County",,,,,"Miami County, IN",,1,2013,,,"40.7906°, -86.1483°"
"Unknown Monroe County","Unknown Monroe County",,,,,"Monroe County, NY",,1,2015,,,"43.1344°, -77.8944°"
"Unknown Montgomery County","Unknown Montgomery County",,,,,"Montgomery County, NY",,2,2015,,,"42.8583°, -74.4594°"
"Unknown Morton County","Unknown Morton County",,,,,"Morton County, ND",,2,2017,,,"46.9678°, -101.2228°"
"Unknown Murray County","Unknown Murray County",,,,,"Murray County, MN",,2,2018,,,"43.9772°, -96.0381°"
"Unknown Newton County","Unknown Newton County",,,,,"Newton County, IN",,1,,,,"40.7619°, -87.4381°"
"Unknown Niagara County","Unknown Niagara County",,,,,"Niagara County, NY",,4,2016,,,"43.2244°, -78.8439°"
"Unknown Nolan County","Unknown Nolan County",,,,,"Nolan County, TX",,1,2018,,,"32.4306°, -100.2775°"
"Unknown Nome Census Area","Unknown Nome Census Area",,,,,"Nome Census Area, AK",,1,2015,,,"66.2581°, -166.0597°"
"Unknown Northwest Arctic Borough","Unknown Northwest Arctic Borough",,,,,"Northwest Arctic Borough, AK",,3,2015,,,"66.0856°, -162.7650°"
"Unknown Nueces County","Unknown Nueces County",,,,,"Nueces County, TX",,1,2012,,,"27.7886°, -97.4864°"
"Unknown O'Brien County","Unknown O'Brien County",,,,,"O'Brien County, IA",,3,2016,,,"43.2022°, -95.5519°"
"Unknown Oneida County","Unknown Oneida County",,,,,"Oneida County, NY",,1,2017,,,"42.9769°, -75.4458°"
"Unknown Onondaga County","Unknown Onondaga County",,,,,"Onondaga County, NY",,4,2017,,,"42.8825°, -76.4275°"
"Unknown Orleans County","Unknown Orleans County",,,,,"Orleans County, NY",,1,2015,,,"43.2214°, -78.2028°"
"Unknown Oswego County","Unknown Oswego County",,,,,"Oswego County, NY",,1,2016,,,"43.4633°, -76.2156°"
"Unknown Palo Alto County","Unknown Palo Alto County",,,,,"Palo Alto County, IA",,1,2015,,,"43.1289°, -94.7664°"
"Unknown Paulding County","Unknown Paulding County",,,,,"Paulding County, OH",,39,2018,,,"41.0322°, -84.6150°"
"Unknown Pennington County 1","Unknown Pennington County 1",,,,,"Pennington County, SD",,1,2002,,,"44.0886°, -103.0664°"
"Unknown Pennington County 2","Unknown Pennington County 2",,,,,"Pennington County, SD",,1,,,,"44.1122°, -102.9714°"
"Unknown Pipestone County","Unknown Pipestone County",,,,,"Pipestone County, MN",,22,2018,,,"43.9692°, -96.0806°"
"Unknown Pipestone County 3","Unknown Pipestone County 3",,,,,"Pipestone County, MN",,1,2013,,,"44.0281°, -96.3086°"
"Unknown Pittsburg County","Unknown Pittsburg County",,,,,"Pittsburg County, OK",,1,,,,"34.9003°, -95.7775°"
"Unknown Polk County","Unknown Polk County",,,,,"Polk County, IA",,2,2016,,,"41.7925°, -93.5481°"
"Unknown Pottawattamie County","Unknown Pottawattamie County",,,,,"Pottawattamie County, IA",,1,2013,,,"41.2911°, -95.8578°"
"Unknown Randall County","Unknown Randall County",,,,,"Randall County, TX",,3,,,,"34.9694°, -101.7892°"
"Unknown Randolph County","Unknown Randolph County",,,,,"Randolph County, MO",,1,2014,,,"39.4622°, -92.4203°"
"Unknown Reagan County","Unknown Reagan County",,,,,"Reagan County, TX",,105,2017,,,"31.1736°, -101.3486°"
"Unknown Red Lake County","Unknown Red Lake County",,,,,"Red Lake County, MN",,1,2017,,,"47.8717°, -96.3150°"
"Unknown Red Willow County","Unknown Red Willow County",,,,,"Red Willow County, NE",,1,2013,,,"40.1603°, -100.6447°"
"Unknown Riverside County","Unknown Riverside County",,,,,"Riverside County, CA",,2,2017,,,"33.9122°, -116.6242°"
"Unknown Rockingham County","Unknown Rockingham County",,,,,"Rockingham County, NH",,1,1996,,,"43.1008°, -70.8106°"
"Unknown San Gorgonio Pass 1","Unknown San Gorgonio Pass 1",,,,,"Riverside County, CA",,145,1981,,,"33.8928°, -116.5775°"
"Unknown San Gorgonio Pass 4","Unknown San Gorgonio Pass 4",,,,,"Riverside County, CA",,37,1985,,,"33.9406°, -116.6239°"
"Unknown San Gorgonio Pass 6","Unknown San Gorgonio Pass 6",,,,,"Riverside County, CA",,6,1996,,,"33.9314°, -116.5722°"
"Unknown San Gorgonio Pass 7","Unknown San Gorgonio Pass 7",,,,,"Riverside County, CA",,13,1996,,,"33.9267°, -116.5714°"
"Unknown San Juan Municipio","Unknown San Juan Municipio",,,,,"San Juan Municipio, PR",,1,2012,,,"18.4294°, -66.0869°"
"Unknown San Miguel County 1","Unknown San Miguel County 1",,,,,"San Miguel County, NM",,1,2014,,,"35.6961°, -105.0972°"
"Unknown Scott County","Unknown Scott County",,,,,"Scott County, MN",,2,2013,,,"44.7444°, -93.4794°"
"Unknown Scotts Bluff County","Unknown Scotts Bluff County",,,,,"Scotts Bluff County, NE",,1,2010,,,"41.8439°, -103.6819°"
"Unknown Seneca County","Unknown Seneca County",,,,,"Seneca County, NY",,1,2014,,,"42.8789°, -76.8044°"
"Unknown Sioux County","Unknown Sioux County",,,,,"Sioux County, ND",,1,2017,,,"46.0842°, -100.6794°"
"Unknown Snohomish County","Unknown Snohomish County",,,,,"Snohomish County, WA",,1,2012,,,"47.9278°, -122.2586°"
"Unknown Solano County","Unknown Solano County",,,,,"Solano County, CA",,7,1990,,,"38.0825°, -121.8094°"
"Unknown St. Joseph County","Unknown St. Joseph County",,,,,"St. Joseph County, MI",,1,2013,,,"41.8106°, -85.4797°"
"Unknown Sterling County","Unknown Sterling County",,,,,"Sterling County, TX",,1,2017,,,"31.8967°, -100.8658°"
"Unknown Sweet Grass County","Unknown Sweet Grass County",,,,,"Sweet Grass County, MT",,1,2017,,,"45.8439°, -109.6339°"
"Unknown Taylor County","Unknown Taylor County",,,,,"Taylor County, TX",,1,2005,,,"32.2142°, -100.0542°"
"Unknown Tehachapi Wind Resource Area 1","Unknown Tehachapi Wind Resource Area 1",,,,,"Kern County, CA",,1832,1982,,,"35.0514°, -118.3011°"
"Unknown Tehachapi Wind Resource Area 3","Unknown Tehachapi Wind Resource Area 3",,,,,"Kern County, CA",,59,2005,,,"35.0467°, -118.3089°"
"Unknown Tioga County","Unknown Tioga County",,,,,"Tioga County, PA",,1,2012,,,"41.7253°, -77.3875°"
"Unknown Tulare County","Unknown Tulare County",,,,,"Tulare County, CA",,1,2012,,,"36.1675°, -119.3300°"
"Unknown Union County","Unknown Union County",,,,,"Union County, NM",,2,2013,,,"36.4536°, -103.1492°"
"Unknown Upton County","Unknown Upton County",,,,,"Upton County, TX",,1,,,,"31.2686°, -102.1903°"
"Unknown Utah County","Unknown Utah County",,,,,"Utah County, UT",,3,,,,"40.0836°, -111.5900°"
"Unknown Wabash County","Unknown Wabash County",,,,,"Wabash County, IN",,1,2012,,,"40.7378°, -85.8044°"
"Unknown Wade Hampton County","Unknown Wade Hampton County",,,,,"Kusilvak Census Area, AK",,1,2013,,,"62.6853°, -164.6711°"
"Unknown Wadena County","Unknown Wadena County",,,,,"Wadena County, MN",,1,2013,,,"46.3894°, -94.8089°"
"Unknown Walla Walla County","Unknown Walla Walla County",,,,,"Walla Walla County, WA",,3,2015,,,"46.0783°, -118.2725°"
"Unknown Washington County 1","Unknown Washington County 1",,,,,"Washington County, KS",,1,2013,,,"39.7131°, -97.0581°"
"Unknown Washoe County","Unknown Washoe County",,,,,"Washoe County, NV",,2,2014,,,"39.6689°, -119.9117°"
"Unknown Watonwan County","Unknown Watonwan County",,,,,"Watonwan County, MN",,1,2013,,,"43.9553°, -94.5467°"
"Unknown Wayne County","Unknown Wayne County",,,,,"Wayne County, NE",,4,2013,,,"42.2419°, -96.9719°"
"Unknown Webb County","Unknown Webb County",,,,,"Webb County, TX",,2,2017,,,"27.4433°, -98.9589°"
"Unknown Whatcom County","Unknown Whatcom County",,,,,"Whatcom County, WA",,1,2010,,,"48.7850°, -122.5256°"
"Unknown Woodward County","Unknown Woodward County",,,,,"Woodward County, OK",,21,,,,"36.1797°, -99.3078°"
"Unknown Wyoming County","Unknown Wyoming County",,,,,"Wyoming County, NY",,1,2016,,,"42.7408°, -78.1881°"
"Unknown Yellow Medicine County","Unknown Yellow Medicine County",,,,,"Yellow Medicine County, MN",,1,2014,,,"44.7031°, -95.5336°"
"Unknown Yolo County","Unknown Yolo County",,,,,"Yolo County, CA",,1,2014,,,"38.5806°, -121.8611°"
"Unknown Young County 1","Unknown Young County 1",,,,,"Young County, TX",,1,2011,,,"33.0933°, -98.5511°"
"Unknown Young County 2","Unknown Young County 2",,,,,"Young County, TX",,1,2011,,,"33.0947°, -98.6178°"
"Unknown Yuma County","Unknown Yuma County",,,,,"Yuma County, CO",,2,2016,,,"40.0350°, -102.7172°"
"Upper Scioto Valley School","Upper Scioto Valley School","Community Wind","Upper Scioto Valley Schools",,"Upper Scioto Valley Schools","McGuffey OH","0.2 MW",2,2009,"Northern Power Systems","In Service","40.6917°, -83.7864°"
"VPI Enterprises Inc.","VPI Enterprises Inc.",,,,,"Riverside County, CA","25.153 MW",254,1985,Micon,,"33.8906°, -116.5708°"
"Valley View Wind Farm","Valley View","Commercial Scale Wind","Juhl Wind","Valley View Transmission","Xcel Energy","Outside Chandler MN","10 MW",5,2011,Gamesa,"In Service","43.9058°, -96.0206°"
"Vansycle Ridge II","Vansycle Ridge II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,OR,"98.9 MW",43,2009,Siemens,"In Service","45.8514°, -118.4581°"
"Vansycle Ridge Wind Farm","Vansycle Ridge","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Portland General Electric","North of Helix OR","25.08 MW",38,1998,Vestas,"In Service","45.9664°, -118.7775°"
"Vantage Point","Vantage Point",,,,,"Kittitas County, WA","90 MW",60,2010,"GE Wind",,"46.9517°, -120.1711°"
"Vantage Wind Energy Center","Vantage Wind Energy Center","Commercial Scale Wind",Invenergy,Invenergy,"Pacific Gas & Electric Co","East of Ellensburg between Vantage Highway and I90","103.5 MW",69,2010,"GE Energy","In Service","46.9653°, -120.2453°"
"Vasco (repower)","Vasco (repower)",,,,,"Contra Costa County, CA","78.2 MW",34,2011,Siemens,,"37.7886°, -121.7244°"
"Velva Wind Farm","Velva Wind Farm","Commercial Scale Wind","Acciona Energy","Global Renewable Energy Partners/Acciona Energy","Xcel Energy","McHenry County ND","11.88 MW",18,2006,Vestas,"In Service","48.0900°, -100.9072°"
"Venture Wind I Wind Farm","Venture Wind I","Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.2 MW",12,,Various,"In Service","37.7347°, -121.6519°"
"Venture Wind II Wind Farm","Venture Wind II","Commercial Scale Wind",SeaWest,Seawest,"Pacific Gas & Electric Co","Altamont Pass CA","1.69 MW",26,,Various,"In Service","37.7347°, -121.6519°"
"Vermilion Bay","Vermilion Bay","Offshore Wind","Coastal Point Energy LLC","Coastal Point Energy LLC",,"Gulf of Mexico LA","36 MW",18,,XEMC,Proposed,"29.7411°, -92.0569°"
"Victorville Wind Project","Victorville Wind Project","Community Wind",NORESCO,NORESCO,"Victorville Prison","Victorville Federal Correctional Complex CA","0.75 MW",1,2005,Vestas,"In Service","34.5578°, -117.3583°"
"Victory Garden Wind Farm I","Victory Garden","Commercial Scale Wind",Caithness,Caithness,"Southern California Edison Co","Tehachapi, California","6 MW",8,2005,Zond,"In Service","35.0767°, -118.2553°"
"Victory Garden Wind Farm II","Victory Garden","Commercial Scale Wind",Caithness,Caithness,"Southern California Edison Co","Tehachapi, California","0.66 MW",1,2005,Vestas,"In Service","35.0767°, -118.2553°"
"Victory Gardens I and IV","Victory Gardens I and IV","Commercial Scale Wind",,"Zond Systems","Southern California Edison Co","Tehachapi, California","1 MW",2,,Vestas,"In Service","35.0767°, -118.2553°"
"Victory Gardens Phase IV Wind Farm I","Victory Gardens- Phase IV","Commercial Scale Wind","NextEra Energy Resources","Zond Systems","Southern California Edison Co","Tehachapi, California","1.32 MW",2,1990,Vestas,"In Service","35.0767°, -118.2553°"
"Victory Gardens Phase IV Wind Farm II","Victory Gardens- Phase IV","Commercial Scale Wind","NextEra Energy Resources","Zond Systems","Southern California Edison Co","Tehachapi, California","21.15 MW",94,1990,Vestas,"In Service","35.0767°, -118.2553°"
"Victory Wind Farm","Victory Wind Farm","Commercial Scale Wind","MidAmerican Energy",Invenergy,"MidAmerican Energy","Carroll and Crawford Counties IA","99 MW",66,2006,"GE Energy","In Service","42.1447°, -95.1381°"
Vienna,Vienna,"Commercial Scale Wind","MidAmerican Energy","RPM Access Wind Development","MidAmerican Energy","Marshalltown IA","105.75 MW",45,2012,Siemens,"In Service","42.1600°, -92.7797°"
"Vienna II","Vienna II",,,,,"Marshall County, IA","44.65 MW",19,2013,Siemens,,"42.1733°, -92.8300°"
"Viking Energy '83 Wind Farm","Viking Energy '83","Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","1.69 MW",26,1983,Micon,"In Service","37.7347°, -121.6519°"
"Viking Wind Farm","Viking Wind Farm","Commercial Scale Wind","EnXco - part ownership",EnXco,"Xcel Energy","Murray County MN","12 MW",8,2003,"GE Energy","In Service","44.0214°, -95.7636°"
"Village of Cascade","Village of Cascade","Community Wind","Village of Cascade",,"Village of Cascade","Cascade WI","0.2 MW",2,2010,"Northern Power Systems","In Service","43.6586°, -87.9972°"
"WED Coventry 1","WED Coventry 1",,,,,"Kent County, RI","1.5 MW",1,2016,Vensys,,"41.6756°, -71.7078°"
"WED Coventry 2","WED Coventry 2",,,,,"Kent County, RI","4.5 MW",3,2016,Vensys,,"41.6725°, -71.7058°"
"WED Coventry 3","WED Coventry 3",,,,,"Kent County, RI","1.5 MW",1,2016,Vensys,,"41.6956°, -71.7211°"
"WED Coventry 4","WED Coventry 4",,,,,"Kent County, RI","1.5 MW",1,2016,Vensys,,"41.6864°, -71.7294°"
"WED Coventry 5","WED Coventry 5",,,,,"Kent County, RI","1.5 MW",1,2017,Vensys,,"41.6600°, -71.7000°"
"WED Coventry 6","WED Coventry 6",,,,,"Kent County, RI","4.5 MW",3,2016,Vensys,,"41.6719°, -71.7022°"
"WED Portsmouth 1","WED Portsmouth 1",,,,,"Newport County, RI","1.5 MW",1,2016,Vensys,,"41.6144°, -71.2514°"
"WPS Wind Farm","WPS Wind Farm","Commercial Scale Wind","Wisconsin Public Service Co.","Wisconsin Public Service Co.","Wisconsin Public Service Co.","Lincoln in Kewaunee County WI","9.24 MW",14,1999,Vestas,"In Service","44.6111°, -87.5589°"
Wagner,Wagner,"Commercial Scale Wind","WKN USA LLC","WKN USA LLC","Undisclosed PPA","Palm Springs CA","6 MW",2,2012,Vestas,"In Service","33.9081°, -116.5556°"
Wake,Wake,,,,,"Crosby County, TX","257.25 MW",150,2016,"GE Wind",,"33.8144°, -101.2078°"
